X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y,LATITUDE,LONGITUDE
2460777.397,2446510.468,11,T20150015118,2015/07/20 00:00:00+00,09.:5.00,1,4,Collision with a fixed object,A,A,41,2,Drivers,F,On BACCHUS MARSH ROAD 1507m W from Int MORAS COURT,291809,N,N,Non Intersection,5190,BACCHUS MARSH,ROAD,MORAS,COURT,Declared Road,MACEDON RANGES,NORTHERN REGION,Country,2460777.397,2446510.468,-37.48120933,144.5564908
2500070.501,2423017.523,12,T20150015521,2015/07/25 00:00:00+00,08.:4.00,5,1,Collision with vehicle,A,A,28,2,Drivers,M,At Int of EDGARS ROAD and MAHONEYS ROAD,29421,I,I,Intersection,5000,EDGARS,ROAD,MAHONEYS,ROAD,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2500070.501,2423017.523,-37.69372328,145.0007994
2494637.708,2420749.271,13,T20150015602,2015/07/26 00:00:00+00,20.:1.00,2,2,Struck Pedestrian,A,1,74,1,Pedestrians,F,At Int of JENSEN STREET and SOUTH STREET,62318,I,I,Intersection,9999,JENSEN,STREET,SOUTH,STREET,Non Declared Road,MORELAND,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2494637.708,2420749.271,-37.71414579,144.9391794
2455284.622,2457304.098,14,T20150015821,2015/07/29 00:00:00+00,12.:3.00,2,1,Collision with vehicle,A,B,48,2,Drivers,M,On ASHBOURNE ROAD 180m W from Int ROBERT ROAD,292192,N,N,Non Intersection,9999,ASHBOURNE,ROAD,ROBERT,ROAD,Non Declared Road,MACEDON RANGES,NORTHERN REGION,Bendigo,2455284.622,2457304.098,-37.38369958,144.4950297
2233463.206,2580796.829,15,T20150015889,2015/07/30 00:00:00+00,15.:3.00,1,4,Collision with a fixed object,A,1,74,3,Passengers,F,On DIMBOOLA-RAINBOW ROAD 267m N from Int GAULKE ROAD,292240,N,N,Non Intersection,5051,DIMBOOLA-RAINBOW,ROAD,GAULKE,ROAD,Declared Road,HINDMARSH,WESTERN REGION,Country,2233463.206,2580796.829,-36.23440001,142.0343926
2233463.206,2580796.829,16,T20150015889,2015/07/30 00:00:00+00,15.:3.00,1,4,Collision with a fixed object,A,A,76,2,Drivers,M,On DIMBOOLA-RAINBOW ROAD 267m N from Int GAULKE ROAD,292240,N,N,Non Intersection,5051,DIMBOOLA-RAINBOW,ROAD,GAULKE,ROAD,Declared Road,HINDMARSH,WESTERN REGION,Country,2233463.206,2580796.829,-36.23440001,142.0343926
2505338.502,2422296.732,17,T20150015890,2015/07/30 00:00:00+00,18.:0.00,1,2,Struck Pedestrian,A,1,69,1,Pedestrians,F,On GRIMSHAW STREET 46m E from Int MONCKTON ROAD,292278,N,N,Non Intersection,5910,GRIMSHAW,STREET,MONCKTON,ROAD,Declared Road,BANYULE,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2505338.502,2422296.732,-37.70020265,145.0605396
2504621.797,2433859.33,18,T20150015985,2015/07/31 00:00:00+00,15.:2.00,3,1,Collision with vehicle,A,C,30,2,Drivers,M,On BRIDGE INN ROAD 483m E from Int BINDTS ROAD,292337,N,N,Non Intersection,9999,BRIDGE INN,ROAD,BINDTS,ROAD,Non Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2504621.797,2433859.33,-37.59602022,145.05234
2499124.253,2403452.194,19,T20150016013,2015/08/01 00:00:00+00,10.:3.00,1,2,Struck Pedestrian,A,1,66,1,Pedestrians,M,On CHAPEL STREET 28m N from Int DICKENS STREET,292336,N,N,Non Intersection,9999,CHAPEL,STREET,DICKENS,STREET,Non Declared Road,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2499124.253,2403452.194,-37.87000959,144.9900465
2487291.632,2405186.196,20,T20150016264,2015/08/05 00:00:00+00,04.:5.00,2,1,Collision with vehicle,A,1,53,3,Passengers,M,On DARBYSHIRE STREET 122m S from Int KOROROIT CREEK ROAD,292539,N,N,Non Intersection,9999,DARBYSHIRE,STREET,KOROROIT CREEK,ROAD,Non Declared Road,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Melbourne - West,2487291.632,2405186.196,-37.85430005,144.8555905
2479895.826,2403667.164,21,T20150016404,2015/08/07 00:00:00+00,00.:2.00,3,1,Collision with vehicle,A,A,54,2,Drivers,M,On PRINCES FREEWAY 83m SW from Int NEWLAND-PRINCES OUT RAMP ON,294562,N,N,Non Intersection,2500,PRINCES,FREEWAY,NEWLAND-PRINCES OUT ON,RAMP,Declared Road,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Melbourne - West,2479895.826,2403667.164,-37.86785579,144.7715083
2307616.231,2594522.538,22,T20150016455,2015/08/07 00:00:00+00,02.:0.00,1,4,Collision with a fixed object,A,2,27,3,Passengers,M,On SUNRAYSIA HIGHWAY 730m N from Int FRASERS ROAD,292625,N,N,Non Intersection,2700,SUNRAYSIA,HIGHWAY,FRASERS,ROAD,Declared Road,BULOKE,NORTHERN REGION,Country,2307616.231,2594522.538,-36.12864992,142.8625494
2491099.894,2414572.004,23,T20150016535,2015/08/08 00:00:00+00,20.:1.00,3,1,Collision with vehicle,A,A,55,2,Drivers,M,At Int of RALEIGH ROAD and CLYDE STREET,45255,I,I,Intersection,5864,RALEIGH,ROAD,CLYDE,STREET,Declared Road,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,Melbourne - West,2491099.894,2414572.004,-37.76977775,144.8989782
2470785.67,2461621.123,24,T20150016704,2015/08/11 00:00:00+00,09.:4.00,1,4,Collision with a fixed object,A,A,67,2,Drivers,M,On ROMSEY ROAD 299m W from Int VINNICOMBES ROAD,292672,N,N,Non Intersection,9999,ROMSEY,ROAD,VINNICOMBES,ROAD,Non Declared Road,MACEDON RANGES,NORTHERN REGION,Country,2470785.67,2461621.123,-37.34540965,144.67025
2491799.801,2348182.805,25,T20150016781,2015/08/12 00:00:00+00,09.:4.00,2,1,Collision with vehicle,A,3,88,3,Passengers,F,On EASTBOURNE ROAD 22m W from Int DEIGHTON DRIVE,292720,N,N,Non Intersection,9999,EASTBOURNE,ROAD,DEIGHTON,DRIVE,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2491799.801,2348182.805,-38.36788101,144.90618
2491799.801,2348182.805,26,T20150016781,2015/08/12 00:00:00+00,09.:4.00,2,1,Collision with vehicle,A,4,91,3,Passengers,F,On EASTBOURNE ROAD 22m W from Int DEIGHTON DRIVE,292720,N,N,Non Intersection,9999,EASTBOURNE,ROAD,DEIGHTON,DRIVE,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2491799.801,2348182.805,-38.36788101,144.90618
2512112.865,2386721.336,27,T20150016814,2015/08/12 00:00:00+00,22.:5.00,1,6,Vehicle overturned (no collision),A,A,57,2,Drivers,M,On SPRINGVALE ROAD 216m NE from Int PILLARS ROAD,292888,N,N,Non Intersection,2400,SPRINGVALE,ROAD,PILLARS,ROAD,Declared Road,KINGSTON,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2512112.865,2386721.336,-38.02066798,145.1379467
2443560.229,2378840.231,28,T20150016862,2015/08/13 00:00:00+00,11.:0.00,1,2,Struck Pedestrian,A,3,68,1,Pedestrians,M,On PRINCES HIGHWAY(R) 132m N from Int PRINCES HIGHWAY SERVICE ROAD REV,294680,N,N,Non Intersection,2800,PRINCES,HIGHWAY,PRINCES REV,HIGHWAY SERVICE ROAD,Declared Road,GEELONG,SOUTH WESTERN REGION,Country,2443560.229,2378840.231,-38.09003022,144.3566418
2493625.544,2433693.188,29,T20150016946,2015/08/14 00:00:00+00,16.:2.00,1,2,Struck Pedestrian,A,1,70,1,Pedestrians,M,On CRAIGIEBURN ROAD 128m E from Int CLOVELLY DRIVE,292805,N,N,Non Intersection,5106,CRAIGIEBURN,ROAD,CLOVELLY,DRIVE,Declared Road,HUME,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2493625.544,2433693.188,-37.59750696,144.9278105
2528443.811,2534179.806,30,T20150016997,2015/08/15 00:00:00+00,12.:1.00,1,4,Collision with a fixed object,A,1,27,3,Passengers,F,On LONGWOOD-SHEPPARTON ROAD 503m S from Int CULLENS ROAD,294158,N,N,Non Intersection,9999,LONGWOOD-SHEPPARTON,ROAD,CULLENS,ROAD,Non Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2528443.811,2534179.806,-36.69153,145.3183146
2752185.987,2405105.596,31,T20150017023,2015/08/15 00:00:00+00,18.:1.00,1,2,Struck Pedestrian,A,1,36,1,Pedestrians,M,On SCHOOL ROAD 127m E from Int OLD ORBOST ROAD,292846,N,N,Non Intersection,9999,SCHOOL,ROAD,OLD ORBOST,ROAD,Non Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2752185.987,2405105.596,-37.82092228,147.8648397
2531135.609,2426189.754,32,T20150017071,2015/08/16 00:00:00+00,03.:0.00,1,6,Vehicle overturned (no collision),A,1,16,3,Passengers,M,On GLENVIEW ROAD 489m N from Int YARRAVIEW ROAD,292864,N,N,Non Intersection,9999,GLENVIEW,ROAD,YARRAVIEW,ROAD,Non Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2531135.609,2426189.754,-37.6646198,145.3529184
2648123.808,2357136.888,33,T20150017155,2015/08/17 00:00:00+00,15.:4.00,1,4,Collision with a fixed object,A,1,2,3,Passengers,M,On HYLAND HIGHWAY 172m NW from Int CASSINIA LANE,292937,N,N,Non Intersection,2170,HYLAND,HIGHWAY,CASSINIA,LANE,Declared Road,WELLINGTON,EASTERN REGION,Country,2648123.808,2357136.888,-38.27539873,146.6927133
2590752.636,2550366.691,34,T20150017254,2015/08/18 00:00:00+00,20.:1.00,1,2,Struck Pedestrian,A,1,60,1,Pedestrians,M,On SYDNEY ROAD 109m NE from Int ENTERPRISE DRIVE,292936,N,N,Non Intersection,5047,SYDNEY,ROAD,ENTERPRISE,DRIVE,Declared Road,BENALLA,NORTH EASTERN REGION,Country,2590752.636,2550366.691,-36.54171874,146.0136492
2766295.41,2400141.919,35,T20150017255,2015/08/18 00:00:00+00,19.:0.00,1,2,Struck Pedestrian,A,1,52,1,Pedestrians,M,On PRINCES HIGHWAY 43m NE from Int WEEKES ROAD,292976,N,N,Non Intersection,2510,PRINCES,HIGHWAY,WEEKES,ROAD,Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2766295.41,2400141.919,-37.86169025,148.0268103
2527748.871,2379290.766,36,T20150017271,2015/08/18 00:00:00+00,17.:0.00,2,1,Collision with vehicle,A,B,97,2,Drivers,M,At Int of THOMPSONS ROAD and WILLIAM THWAITES BOULEVARD,291213,I,I,Intersection,5164,THOMPSONS,ROAD,WILLIAM THWAITES,BOULEVARD,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2527748.871,2379290.766,-38.08727419,145.3162966
2337647.297,2364044.09,37,T20150017362,2015/08/20 00:00:00+00,11.:4.00,2,1,Collision with vehicle,A,A,70,2,Drivers,F,At Int of OLD GEELONG ROAD and DEPOT ROAD,280051,I,I,Intersection,9999,OLD GEELONG,ROAD,DEPOT,ROAD,Non Declared Road,CORANGAMITE,SOUTH WESTERN REGION,Country,2337647.297,2364044.09,-38.21080092,143.1462594
2277579.793,2345910.787,38,T20150017395,2015/08/20 00:00:00+00,20.:3.00,2,1,Collision with vehicle,A,A,58,2,Drivers,F,At Int of RAGLAN PARADE(R) and ROONEYS ROAD,50647,I,I,Intersection,2500,RAGLAN,PARADE,ROONEYS,ROAD,Declared Road,WARRNAMBOOL,SOUTH WESTERN REGION,Country,2277579.793,2345910.787,-38.36160335,142.4551583
2204276.744,2359147.484,39,T20150017566,2015/08/23 00:00:00+00,20.:0.00,1,4,Collision with a fixed object,A,A,36,4,Motorcyclists,M,On PRINCES HIGHWAY 307m SE from Int HEATHMERE SIDING ROAD,293665,N,N,Non Intersection,2500,PRINCES,HIGHWAY,HEATHMERE SIDING,ROAD,Declared Road,GLENELG,SOUTH WESTERN REGION,Country,2204276.744,2359147.484,-38.22188892,141.6224429
2547789.023,2378183.335,40,T20150017743,2015/08/26 00:00:00+00,13.:3.00,2,1,Collision with vehicle,A,B,88,2,Drivers,F,At Int of BALD HILL ROAD and FIVE MILE ROAD,49020,I,I,Intersection,9999,BALD HILL,ROAD,FIVE MILE,ROAD,Non Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2547789.023,2378183.335,-38.09643433,145.5447933
2527204.454,2400802.049,41,T20150017854,2015/08/27 00:00:00+00,18.:4.00,1,2,Struck Pedestrian,A,1,75,1,Pedestrians,M,At Int of BURWOOD HIGHWAY(R) and DAWSON STREET,41977,I,I,Intersection,2750,BURWOOD,HIGHWAY,DAWSON,STREET,Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2527204.454,2400802.049,-37.89348907,145.3092945
2501922.38,2410891.53,42,T20150017945,2015/08/28 00:00:00+00,23.:5.00,1,4,Collision with a fixed object,A,1,16,3,Passengers,F,On YARRA BOULEVARD 24m NE from Int YARRA STREET,294643,N,N,Non Intersection,4036,YARRA,BOULEVARD,YARRA,STREET,Declared Road,BOROONDARA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2501922.38,2410891.53,-37.80297992,145.0218298
2518898.426,2363063.547,43,T20150018130,2015/08/31 00:00:00+00,17.:3.00,2,1,Collision with vehicle,A,A,19,2,Drivers,F,On DANDENONG-HASTINGS ROAD 558m N from Int BUNGOWER ROAD,293589,N,N,Non Intersection,2230,DANDENONG-HASTINGS,ROAD,BUNGOWER,ROAD,Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2518898.426,2363063.547,-38.2336805,145.2158342
2518710.642,2386133.981,44,T20150018132,2015/08/31 00:00:00+00,19.:5.00,1,2,Struck Pedestrian,A,1,42,1,Pedestrians,M,On FRANKSTON-DANDENONG ROAD 122m N from Int COJO PLACE,293588,N,N,Non Intersection,2090,FRANKSTON-DANDENONG,ROAD,COJO,PLACE,Declared Road,DANDENONG,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2518710.642,2386133.981,-38.02584997,145.2130998
2483159.992,2597309.035,45,T20150018406,2015/09/04 00:00:00+00,12.:4.00,1,4,Collision with a fixed object,A,A,36,2,Drivers,M,On BANGERANG ROAD 68m W from Int SIMMIE ROAD,293776,N,N,Non Intersection,9999,BANGERANG,ROAD,SIMMIE,ROAD,Non Declared Road,CAMPASPE,NORTHERN REGION,Country,2483159.992,2597309.035,-36.12285282,144.8129313
2416757.925,2356352.552,46,T20150018505,2015/09/05 00:00:00+00,13.:0.00,1,4,Collision with a fixed object,A,A,18,2,Drivers,M,On CAPE OTWAY ROAD 1366m W from Int DYSONS LANE,293632,N,N,Non Intersection,9999,CAPE OTWAY,ROAD,DYSONS,LANE,Non Declared Road,SURF COAST,SOUTH WESTERN REGION,Country,2416757.925,2356352.552,-38.29057963,144.048577
2522107.05,2388279.096,47,T20150018968,2015/09/12 00:00:00+00,07.:3.00,3,1,Collision with vehicle,A,B,39,2,Drivers,M,On PRINCES-SOUTH GIPPSLAND OUT RAMP ON 120m N from Int SOUTH GIPPSLAND FREEWAY,293872,N,N,Non Intersection,7017,PRINCES-SOUTH GIPPSLAND OUT,RAMP,SOUTH GIPPSLAND,FREEWAY,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2522107.05,2388279.096,-38.0064495,145.2517175
2512742.365,2405489.484,48,T20150019033,2015/09/13 00:00:00+00,08.:5.00,1,4,Collision with a fixed object,A,A,32,4,Motorcyclists,M,On BURWOOD HIGHWAY 13m W from Int CORNISH ROAD,293873,N,N,Non Intersection,2750,BURWOOD,HIGHWAY,CORNISH,ROAD,Declared Road,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2512742.365,2405489.484,-37.851567,145.1447906
2440406.044,2353084.928,49,T20150019048,2015/09/13 00:00:00+00,15.:1.00,3,1,Collision with vehicle,A,C,87,2,Drivers,F,On SURF COAST HIGHWAY 50m N from Int DARIAN ROAD,293881,N,N,Non Intersection,2190,SURF COAST,HIGHWAY,DARIAN,ROAD,Declared Road,SURF COAST,SOUTH WESTERN REGION,Country,2440406.044,2353084.928,-38.32183964,144.318587
2535431.782,2543802.255,50,T20150019237,2015/09/16 00:00:00+00,05.:0.00,1,4,Collision with a fixed object,A,A,29,2,Drivers,M,On ARCADIA TWO CHAIN ROAD 776m SE from Int HANNEBERYS ROAD,293992,N,N,Non Intersection,9999,ARCADIA TWO CHAIN,ROAD,HANNEBERYS,ROAD,Non Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2535431.782,2543802.255,-36.60457147,145.3960682
2537285.012,2423589.88,51,T20150019565,2015/09/20 00:00:00+00,13.:2.00,2,1,Collision with vehicle,A,A,40,4,Motorcyclists,F,On MAROONDAH HIGHWAY 287m SW from Int TARRAWARRA ROAD,294088,N,N,Non Intersection,2720,MAROONDAH,HIGHWAY,TARRAWARRA,ROAD,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2537285.012,2423589.88,-37.68782013,145.4227511
2330292.913,2422481.245,52,T20150019699,2015/09/22 00:00:00+00,14.:3.00,2,1,Collision with vehicle,A,A,43,2,Drivers,M,At Int of GLENELG HIGHWAY and EURAMBEEN-STREATHAM ROAD,54423,I,I,Intersection,2670,GLENELG,HIGHWAY,EURAMBEEN-STREATHAM,ROAD,Declared Road,ARARAT,WESTERN REGION,Country,2330292.913,2422481.245,-37.68310117,143.0757942
2508336.343,2421908.134,53,T20150019786,2015/09/23 00:00:00+00,18.:5.00,2,1,Collision with vehicle,A,A,31,4,Motorcyclists,M,At Int of GRIMSHAW STREET and WILLIAM STREET,44713,I,I,Intersection,5811,GRIMSHAW,STREET,WILLIAM,STREET,Declared Road,BANYULE,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2508336.343,2421908.134,-37.70368209,145.09454
2535684.757,2441433.575,54,T20150019796,2015/09/23 00:00:00+00,18.:2.00,1,4,Collision with a fixed object,A,A,44,2,Drivers,M,On HEALESVILLE-KINGLAKE ROAD 1285m NW from Int MELBA HIGHWAY,294531,N,N,Non Intersection,5791,HEALESVILLE-KINGLAKE,ROAD,MELBA,HIGHWAY,Declared Road,MURRINDINDI,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2535684.757,2441433.575,-37.52709901,145.403749
2511975.791,2400068.152,55,T20150019859,2015/09/24 00:00:00+00,21.:1.00,1,4,Collision with a fixed object,A,A,48,2,Drivers,M,At Int of FERNTREE GULLY ROAD and GILBY ROAD,41734,I,I,Intersection,5799,FERNTREE GULLY,ROAD,GILBY,ROAD,Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2511975.791,2400068.152,-37.90042227,145.1361682
2565788.3,2594742.123,56,T20150019860,2015/09/24 00:00:00+00,19.:0.00,1,4,Collision with a fixed object,A,A,43,2,Drivers,M,On BENALLA-TOCUMWAL ROAD 88m NW from Int YABBA ROAD,294280,N,N,Non Intersection,5397,BENALLA-TOCUMWAL,ROAD,YABBA,ROAD,Declared Road,MOIRA,NORTH EASTERN REGION,Country,2565788.3,2594742.123,-36.14385972,145.7310207
2509301.199,2577804.18,57,T20150019871,2015/09/25 00:00:00+00,07.:0.00,2,1,Collision with vehicle,A,B,71,2,Drivers,M,At Int of DUNBAR ROAD and TREVASKIS ROAD,53152,I,I,Intersection,9999,DUNBAR,ROAD,TREVASKIS,ROAD,Non Declared Road,CAMPASPE,NORTHERN REGION,Country,2509301.199,2577804.18,-36.29874443,145.103559
2383716.1,2557106.167,58,T20150020087,2015/09/28 00:00:00+00,05.:2.00,1,4,Collision with a fixed object,A,1,45,3,Passengers,M,On CALDER HIGHWAY 754m SE from Int ROBERTS ROAD,294426,N,N,Non Intersection,2530,CALDER,HIGHWAY,ROBERTS,ROAD,Declared Road,LODDON,NORTHERN REGION,Bendigo,2383716.1,2557106.167,-36.47818959,143.7022404
2541677.412,2380841.744,59,T20150020313,2015/10/01 00:00:00+00,15.:0.00,2,1,Collision with vehicle,A,A,35,2,Drivers,F,On MCGREGOR ROAD 41m S from Int CUNNINGHAM CRESCENT,294545,N,N,Non Intersection,9999,MCGREGOR,ROAD,CUNNINGHAM,CRESCENT,Non Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2541677.412,2380841.744,-38.07278016,145.4749712
2504792.996,2408902.782,60,T20150020331,2015/10/01 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,A,52,2,Drivers,M,On RATHMINES ROAD 18m W from Int CAMBRIDGE STREET,294520,N,N,Non Intersection,5259,RATHMINES,ROAD,CAMBRIDGE,STREET,Declared Road,BOROONDARA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2504792.996,2408902.782,-37.82088828,145.0544403
2495844.64,2433377.471,61,T20150020455,2015/10/03 00:00:00+00,12.:4.00,1,4,Collision with a fixed object,A,A,39,2,Drivers,M,On CRAIGIEBURN ROAD 359m W from Int HUME OUT-CRAIGIEBURN RAMP OF,116945,N,N,Non Intersection,5106,CRAIGIEBURN,ROAD,HUME OUT-CRAIGIEBURN OF,RAMP,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2495844.64,2433377.471,-37.60036435,144.9529396
2528428.345,2542965.043,62,T20150020578,2015/10/05 00:00:00+00,10.:5.00,2,1,Collision with vehicle,A,A,80,2,Drivers,M,At Int of MURCHISON-VIOLET TOWN ROAD and MURCHISON-VIOLET TOWN-GOULBURN VALLEY IN RAMP ON,294832,I,I,Intersection,5414,MURCHISON-VIOLET TOWN,ROAD,MURCHISON-VIOLET TOWN-GOULBURN VALLEY IN ON,RAMP,Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2528428.345,2542965.043,-36.61235351,145.3178133
2533495.425,2413498.528,63,T20150020696,2015/10/06 00:00:00+00,18.:1.00,2,1,Collision with vehicle,A,8,16,3,Passengers,F,On HEREFORD ROAD 10m S from Int ADAMS LANE,294688,N,N,Non Intersection,5776,HEREFORD,ROAD,ADAMS,LANE,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2533495.425,2413498.528,-37.77888981,145.3802409
